bulan;suhu-minimum;rata-suhu-rata;suhu-maksimum;Kelembaban minimum Average Humidity (%);Kelembaban Rata-rata/ Average Humidity (%);Kelembaban maksimum Average Humidity (%);Kecepatan Angin minimum (m/det);Kecepatan Angin Rata-rata;Kecepatan Angin maksimum;tekanan udara minimum (m/bar);tekanan udara rata-rata (m/bar);tekanan udara maksimum (m/bar);jumlah-curah-hujan (mm);jumlah-hari-hujan (day);penyinaran-matahari (%)
Januari/January;23,8;27,7;35,5;57;81,7;99;0;1,8;15;1 003,4;1 008,5;1 012,1;264,7;19;4,4
Februari/February;22,5;27,4;34;52;82,4;97;0;1,7;17;1 003,6;1 008,0;1 011,5;426,9;23;3,8
Maret/March;23,2;28,1;35;52;81,6;98;0;2,2;240;1 003,1;1 0046;1 011,9;360,3;18;4,8
April/April;23,2;28,9;34,8;45;77,7;98;0;1,9;13;1 003,8;1 0082;1 0122;98,6;7;5,6
Mei/May;23,2;29;34,8;48;79,1;98;0;2,9;16;1 001,4;1 008,5;1 0122;104,9;11;5,3
Juni/June;23,8;28,4;33,8;44;77,5;95;0;48;15;1 0047;1 008,9;1 011,6;98,2;15;6,1
Juli/July;22,2;28,5;33,6;41;72,8;94;0;4;15;1 0054;1 009,0;1 011,8;12,4;4;7,8
Agustus/August;23,8;28,7;34,6;40;70,8;92;0;4,4;18;1 0057;1 009,4;1 012,5;1,3;2;7,9
September/September;24,6;29,5;35,5;35;69,4;94;0;3,8;18;1 0044;1 009,8;1 019,8;0,6;1;6,8
Oktober/0ctober;23,4;28,1;35,2;46;79;98;0;2,4;23;1 0042;1 008,9;1 013,1;288;17;4,1
November/November;22,8;27,8;34,8;57;82,6;98;0;1,9;14;1 0040;1 008,5;1 0127;423,3;22;3,1
Desember/December;23,8;28,1;34,6;46;80,5;97;0;2,8;19;1 001,6;1 0073;1 012,0;190,1;18;3,5
